"id","condition","total_score","age","ease","edu","imphear","interest","L1","notes","prep","self","test"
623292,"nopints",7,28,5,"uni","no",5,"ger","no",5,"adv","c1"
623298,"silence",6,34,3,"uni","no",1,"ger","no",1,"adv","c1"
623301,"original",4,38,1,"hs","no",1,"ger","no",1,"beg","none"
623303,"original",7,58,4,"hs","no",3,"ger","no",5,"adv","c2"
623329,"nopints",7,30,4,"uni","no",3,"ger","no",4,"adv","none"
623338,"original",5,38,1,"hs","no",3,"ger","no",1,"adv","b2"
623342,"silence",5,49,2,"hs","no",3,"ger","no",3,"int","none"
623343,"nopints",6,39,2,"other","no",3,"ger","no",4,"adv","c2"
623350,"original",7,32,3,"hs","no",2,"ger","no",4,"int","b2"
623318,"nopints",4,28,3,"uni","no",3,"ger","no",2,"adv","c2"
623355,"silence",4,26,2,"hs","no",1,"ger","no",2,"adv","none"
623357,"original",4,72,1,"hs","no",4,"ger","no",2,"adv","none"
623654,"nopints",5,38,4,"hs","no",2,"ger","no",4,"adv","none"
623629,"silence",5,24,2,"uni","no",1,"ger","no",2,"adv","none"
623638,"nopints",7,36,2,"uni","no",4,"ger","no",2,"int","b2"
623667,"nopints",7,40,2,"uni","no",1,"ger","no",2,"int","none"
623648,"original",7,34,5,"uni","no",4,"ger","no",3,"adv","c2"
623671,"silence",7,38,2,"other","no",3,"ger","no",2,"adv","b1"
623649,"silence",3,21,3,"hs","no",4,"ger","no",4,"int","b2"
623658,"original",6,37,4,"uni","no",1,"ger","no",4,"adv","c1"
623659,"silence",8,30,2,"uni","no",1,"ger","no",2,"adv","none"
623669,"nopints",7,37,1,"uni","no",2,"ger","no",2,"adv","c2"
623677,"original",5,28,3,"hs","no",2,"ger","no",2,"adv","none"
623678,"nopints",6,37,2,"uni","no",2,"ger","no",3,"adv","c2"
623679,"original",6,34,4,"uni","no",3,"ger","no",3,"int","b1"
623694,"silence",7,54,4,"uni","no",4,"ger","no",4,"adv","none"
623700,"original",6,35,2,"uni","no",2,"ger","no",2,"int","b2"
623741,"silence",3,22,2,"hs","no",2,"ger","no",1,"int","none"
623707,"nopints",5,25,3,"hs","no",4,"ger","no",5,"adv","none"
623719,"original",7,37,1,"uni","no",1,"ger","no",1,"adv","c2"
623725,"original",6,35,1,"hs","no",1,"ger","no",1,"int","none"
623740,"nopints",8,36,3,"uni","no",5,"ger","no",5,"adv","c2"
623753,"nopints",6,22,2,"hs","no",2,"ger","no",3,"int","b2"
623756,"original",7,27,5,"uni","no",4,"ger","no",3,"adv","c1"
623764,"nopints",6,26,2,"uni","no",1,"ger","no",3,"int","b2"
623767,"silence",5,35,3,"uni","no",1,"ger","no",1,"adv","none"
623773,"original",6,22,3,"hs","no",2,"ger","no",2,"adv","c1"
623774,"silence",8,35,3,"uni","no",1,"ger","no",3,"adv","none"
623775,"nopints",4,28,3,"hs","no",3,"ger","no",4,"adv","b2"
623776,"silence",4,70,2,"uni","no",3,"ger","no",3,"int","b1"
623779,"nopints",3,59,1,"hs","no",3,"ger","no",2,"adv","none"
623783,"silence",5,28,3,"uni","no",3,"ger","no",2,"int","b2"
623795,"silence",8,21,1,"hs","no",1,"ger","no",2,"adv","c2"
623860,"original",7,45,2,"uni","no",3,"ger","no",2,"adv","c1"
624329,"silence",7,25,4,"hs","no",2,"ger","no",2,"adv","b2"
624868,"silence",7,31,4,"uni","no",3,"eng","no",5,"adv","none"
624871,"nopints",7,22,4,"hs","no",3,"eng","no",3,"int","none"
624876,"original",5,44,3,"uni","no",3,"eng","no",2,"int","none"
624877,"original",5,25,2,"uni","no",4,"eng","no",1,"adv","none"
624878,"silence",6,36,4,"hs","no",3,"eng","no",4,"adv","c2"
624881,"original",3,26,1,"hs","no",2,"eng","no",1,"adv","none"
624892,"original",8,31,5,"hs","no",4,"eng","no",4,"adv","none"
624942,"nopints",6,55,4,"hs","no",5,"eng","no",4,"adv","none"
625173,"nopints",8,35,2,"uni","no",3,"eng","no",4,"int","none"
625320,"original",8,40,3,"hs","no",2,"eng","no",2,"adv","none"
625301,"silence",6,24,2,"uni","no",1,"eng","no",2,"adv","none"
625302,"original",8,38,3,"hs","no",1,"eng","no",4,"adv","none"
625308,"original",6,41,3,"uni","no",4,"eng","no",4,"adv","none"
625315,"original",8,48,2,"uni","no",1,"eng","no",1,"adv","none"
625322,"original",3,28,2,"uni","no",1,"eng","no",1,"adv","none"
625297,"silence",5,42,3,"uni","no",1,"eng","no",2,"adv","none"
625298,"original",7,54,2,"uni","no",2,"eng","no",2,"adv","none"
625299,"nopints",4,43,3,"hs","no",4,"eng","no",2,"adv","none"
625300,"nopints",8,24,5,"hs","no",1,"eng","no",4,"adv","none"
625303,"original",7,34,4,"hs","no",2,"eng","no",2,"adv","none"
625304,"nopints",7,57,4,"hs","no",2,"eng","no",4,"adv","none"
625305,"silence",6,41,4,"uni","no",5,"eng","no",5,"adv","none"
625306,"silence",7,62,2,"uni","no",1,"eng","no",2,"adv","none"
625309,"original",2,37,4,"uni","no",1,"eng","no",3,"adv","none"
625310,"silence",6,50,2,"uni","no",2,"eng","no",2,"adv","none"
625312,"nopints",7,42,3,"uni","no",4,"eng","no",5,"adv","none"
625314,"silence",6,21,4,"uni","no",3,"eng","no",3,"adv","none"
625317,"nopints",8,26,4,"uni","no",3,"eng","no",4,"adv","none"
625293,"silence",2,39,1,"uni","no",1,"eng","no",2,"adv","none"
625321,"nopints",3,21,1,"uni","no",2,"eng","no",3,"adv","none"
625307,"nopints",8,58,4,"uni","no",3,"eng","no",4,"adv","none"
625330,"nopints",5,32,2,"other","no",2,"eng","no",3,"adv","none"
625323,"silence",7,33,3,"hs","no",5,"eng","no",4,"adv","c1"
625326,"silence",8,61,2,"hs","no",3,"eng","no",2,"adv","none"
625328,"original",5,25,2,"uni","no",1,"eng","no",2,"adv","none"
625329,"silence",7,39,5,"uni","no",1,"eng","no",4,"adv","none"
625331,"silence",6,28,5,"uni","no",4,"eng","no",4,"adv","none"
625318,"nopints",3,35,5,"uni","no",4,"eng","no",4,"adv","none"
625332,"original",4,57,2,"uni","yes",2,"eng","no",2,"adv","none"
625333,"nopints",8,31,5,"hs","no",5,"eng","no",5,"adv","none"
625335,"original",6,36,1,"hs","no",2,"eng","no",1,"beg","c1"
625338,"nopints",5,28,1,"uni","no",1,"eng","no",1,"adv","none"
625342,"original",7,40,2,"uni","no",2,"eng","no",1,"adv","none"
625343,"nopints",7,51,5,"uni","no",4,"eng","no",4,"adv","none"
625358,"original",6,36,2,"other","no",3,"eng","no",2,"adv","none"
